lc_group,bin,x_mean,y_mean,y_sd,y_se,n,variable,bs_id
Non-wetland,6,1193.89865965418,1.1021614971268,1.29274880269617,0.0490720734845159,694,ppt,b00
Non-wetland,7,1259.89359204406,1.41250355147858,1.82924255931698,0.0639970962164133,817,ppt,b00
Non-wetland,8,1337.80408359909,1.90551283948292,2.01904339143959,0.0963636834649058,439,ppt,b00
Non-wetland,9,1404.71447222222,1.48458085013889,1.60765250800299,0.189463665033412,72,ppt,b00
Non-wetland,10,1486.85514117647,0.643939401529412,0.434526004240711,0.105388036033061,17,ppt,b00
Non-wetland,11,1578.74495,1.462121215,1.78107036130691,0.476011076696294,14,ppt,b00
Non-wetland,12,1641.83216,1.290909078,1.7425342909277,0.449920419263889,15,ppt,b00
Non-wetland,13,1715.31623846154,0.782051294615385,0.648698645633568,0.17991663301199,13,ppt,b00
Non-wetland,14,1779.98993636364,0.775482125272727,1.22682505455019,0.369901671759117,11,ppt,b00
Non-wetland,15,1869.6018,0.485225063421053,0.316149051643712,0.0725295666953244,19,ppt,b00
Wetland,1,0.224516895555556,2.20244036461111,2.70418812400409,0.285046456447692,90,wet_sev_z,b00
Wetland,2,0.436036543884892,3.47364325894245,4.47374370382145,0.379457988380683,139,wet_sev_z,b00
Wetland,3,0.66268914395189,2.40732954460481,2.85651051626508,0.167451612024277,291,wet_sev_z,b00
Wetland,4,0.852093503010204,2.13491354166156,2.85791498605372,0.117858427608513,588,wet_sev_z,b00
Wetland,5,1.05926322079659,2.42140723222191,3.2713035868238,0.123379551535409,703,wet_sev_z,b00
Wetland,6,1.2661270031407,2.87239465751633,3.69956286348105,0.131127529033427,796,wet_sev_z,b00
Wetland,7,1.46218482515723,3.19645571615409,3.80008576759279,0.123032319393598,954,wet_sev_z,b00
Wetland,8,1.67158508859764,3.21460460184666,3.97141011459376,0.143774699505693,763,wet_sev_z,b00
Wetland,9,1.87499015652174,3.92447384204192,4.28498548134795,0.168852082421689,644,wet_sev_z,b00
Wetland,10,2.09350796279492,4.69611998425953,4.97532714068521,0.211956062275795,551,wet_sev_z,b00
Wetland,11,2.28792032611607,4.1131937089375,4.79147182949531,0.226375765621719,448,wet_sev_z,b00
Wetland,12,2.50400279442897,4.76019194069638,5.65377615032758,0.298394892484373,359,wet_sev_z,b00
Wetland,13,2.70718083933333,4.29616750872,4.99460821214733,0.288363839577998,300,wet_sev_z,b00
Wetland,14,2.90212931752577,4.32658153747423,4.51272516374195,0.32399478489081,194,wet_sev_z,b00
Wetland,15,3.11818843232323,5.65030101919192,4.69289492007288,0.47165368577111,99,wet_sev_z,b00
Non-wetland,1,0.229702754296875,1.55001127555208,1.69293211468896,0.122176851516929,192,wet_sev_z,b00
Non-wetland,2,0.440714287237569,2.13450060327624,2.67372963647807,0.198736758744171,181,wet_sev_z,b00
Non-wetland,3,0.660495567440945,1.97157135275197,2.21337747510318,0.138879654571553,254,wet_sev_z,b00
Non-wetland,4,0.848739904853557,1.64829563753975,2.06763670462364,0.0945715016110037,478,wet_sev_z,b00
Non-wetland,5,1.05405019662338,1.48209923843831,1.96643869254252,0.0792300727899403,616,wet_sev_z,b00
Non-wetland,6,1.26458144735294,1.52298416695441,2.13069065677093,0.0817082567903758,680,wet_sev_z,b00
Non-wetland,7,1.46912710546218,1.7617851866145,2.40324217475354,0.0778895263136422,952,wet_sev_z,b00
Non-wetland,8,1.6765701627933,1.76098130829832,2.4360594315538,0.0814284863203722,895,wet_sev_z,b00
Non-wetland,9,1.87535887947214,1.84718650723167,2.45019629155669,0.093822865072944,682,wet_sev_z,b00
Non-wetland,10,2.09102464455128,1.88009011712179,2.40758773112865,0.0963806446273521,624,wet_sev_z,b00
Non-wetland,11,2.29165506503067,1.77378114864008,2.18880855042272,0.0989813441181871,489,wet_sev_z,b00
Non-wetland,12,2.49995529769737,1.79191618634211,2.45537470573415,0.140825397510804,304,wet_sev_z,b00
Non-wetland,13,2.70638060684932,1.63291269961644,1.54619274024043,0.104482022879038,219,wet_sev_z,b00
Non-wetland,14,2.91095701013514,2.3800622877027,2.48852826031781,0.204555762938505,148,wet_sev_z,b00
Non-wetland,15,3.12218918484849,2.08521325681818,2.18730026878405,0.219831948345461,99,wet_sev_z,b00
Wetland,1,822.802687166276,4.42099199177284,4.4884254950623,0.125406329202944,1281,ppt,b01
Wetland,2,888.83332911726,4.26157961377823,4.58351398986819,0.0960543518719179,2277,ppt,b01
Wetland,3,972.311356937574,4.322404151245,4.77893037042912,0.164012465718206,849,ppt,b01
Wetland,4,1048.12637595156,3.1289990906609,4.04253478675775,0.237796163926927,289,ppt,b01
Wetland,5,1151.29803560606,1.60531282025253,2.49265948496407,0.125260852147672,396,ppt,b01
Wetland,6,1230.49013064516,1.46803119945731,2.23450264729793,0.0688272738456916,1054,ppt,b01
Wetland,7,1305.82477918089,2.5083804198942,3.12546482437199,0.129111761838449,586,ppt,b01
Wetland,8,1372.88237134146,2.6738512112561,3.44813476265416,0.269254088691288,164,ppt,b01
Wetland,9,1471.17847096774,1.6434506386129,1.56156008502697,0.280464470704225,31,ppt,b01
Wetland,10,1558.5445,1.27609429111111,1.5146311563436,0.504877052114532,9,ppt,b01
Wetland,11,1644.61485238095,2.04891776238095,2.98230436960672,0.650792167577161,21,ppt,b01
Wetland,12,1726.73475,1.21380471008333,0.891679320767268,0.257405647937902,12,ppt,b01
Wetland,13,1798.81224285714,2.12608222928571,3.22825689772497,0.862787947698326,14,ppt,b01
Wetland,14,1871.08979166667,0.7771464625,0.971215558215387,0.280365781988403,12,ppt,b01
Wetland,15,1966.99383636364,1.00757574909091,1.29123892472198,0.38932318436407,11,ppt,b01
Non-wetland,1,823.352866301748,2.55480671835327,2.87713367536775,0.0872660398814549,1087,ppt,b01
Non-wetland,2,893.889412471324,1.99353610556152,2.80959819947556,0.0641534349273703,1918,ppt,b01
Non-wetland,3,968.601006838488,1.4808004167646,2.02727921989822,0.0594206062715882,1164,ppt,b01
Non-wetland,4,1053.17162463731,1.38889612978497,1.74843688557046,0.0889930943182103,386,ppt,b01
Non-wetland,5,1148.041296,1.22879452733474,1.78133352819027,0.0817331877276015,475,ppt,b01
Non-wetland,6,1229.81072857143,1.21318620490972,1.4594524676357,0.0459684319009952,1008,ppt,b01
Non-wetland,7,1302.21555,1.81129690107042,2.28899215687403,0.096043977366801,568,ppt,b01
Non-wetland,8,1366.67131734694,1.59955594883673,1.50219971529455,0.107299979663896,196,ppt,b01
Non-wetland,9,1467.18691153846,1.43979353961538,1.3878750604703,0.27218469291411,26,ppt,b01
Non-wetland,10,1568.66815,0.939393944583333,0.607651150353491,0.175413777614987,12,ppt,b01
Non-wetland,11,1644.15773157895,0.661642738421053,0.60897657477243,0.139708807811398,19,ppt,b01
Non-wetland,12,1720.82124666667,0.386329968666667,0.232961540727775,0.0601504111696994,15,ppt,b01
Non-wetland,13,1805.62458125,0.974273992875,0.661377875608461,0.165344468902115,16,ppt,b01
Non-wetland,14,1889.95916,0.806060607,0.618612061577378,0.13832586213883,20,ppt,b01
Non-wetland,15,1962.66320384615,1.08838382730769,1.24048153430959,0.243278444219081,26,ppt,b01
Wetland,1,0.214410434622642,2.18376708721698,2.5873909467052,0.251309624692594,106,wet_sev_z,b01
Wetland,2,0.430591211125,2.63944099145625,2.91393171792092,0.230366529370935,160,wet_sev_z,b01
Wetland,3,0.657002451122807,2.16392423441754,2.62314428904583,0.155381657581647,285,wet_sev_z,b01
Wetland,4,0.843875877781629,2.14738783983882,3.14341713567966,0.130862167615949,577,wet_sev_z,b01
Wetland,5,1.05327316127572,2.52694054798903,3.34917822913975,0.124043638116287,729,wet_sev_z,b01
Wetland,6,1.2634262495098,3.00115432376348,3.6760469649037,0.128687383822656,816,wet_sev_z,b01
Wetland,7,1.45948894989562,2.98323712002296,3.49929479426043,0.113057083043214,958,wet_sev_z,b01
Wetland,8,1.66636119541284,3.38090078577981,3.91631167615907,0.141780002105878,763,wet_sev_z,b01
Wetland,9,1.87128691612403,3.48765278084496,4.36933742674453,0.172042493167901,645,wet_sev_z,b01
Wetland,10,2.09161426773649,4.57433335462838,4.62956025676305,0.190273754470244,592,wet_sev_z,b01
Wetland,11,2.29325479,4.58592901460715,5.35884128087881,0.261484679846462,420,wet_sev_z,b01
Wetland,12,2.50269430625,4.37549104225298,4.82324461471639,0.263129565978881,336,wet_sev_z,b01
Wetland,13,2.70927847160883,4.45027210246057,4.61880904324717,0.259418161016007,317,wet_sev_z,b01
Wetland,14,2.91417056030928,5.51980999953608,6.20230034440805,0.445299213446537,194,wet_sev_z,b01
Wetland,15,3.13217135371901,4.67430500549587,4.93560842221453,0.448691674746776,121,wet_sev_z,b01
Non-wetland,1,0.218487619170455,1.63417594073864,2.01340698046817,0.151766261465803,176,wet_sev_z,b01
Non-wetland,2,0.420626282160804,2.0122962518995,2.82911522956075,0.200550661303846,199,wet_sev_z,b01
Non-wetland,3,0.645262324664032,1.95097601622925,2.3381189407555,0.14699627836863,253,wet_sev_z,b01
Non-wetland,4,0.841141395578512,1.50692967161983,1.59823780549629,0.0726471729771039,484,wet_sev_z,b01
Non-wetland,5,1.05076847532283,1.63731444234803,2.08652516171797,0.0828012253178972,635,wet_sev_z,b01
Non-wetland,6,1.25575733117241,1.49885402577931,2.19058058267151,0.0813561204206538,725,wet_sev_z,b01
Non-wetland,7,1.46759871611328,1.71568839444922,2.42689042589952,0.07584032580936,1024,wet_sev_z,b01
Non-wetland,8,1.6679066375,1.79623244931585,2.58604293463876,0.0863936307938006,896,wet_sev_z,b01
Non-wetland,9,1.87751360391872,1.60348391401451,2.13522810681102,0.0813457123482206,689,wet_sev_z,b01
Non-wetland,10,2.08949227460317,1.89741700045714,2.66159362209097,0.106040428118169,630,wet_sev_z,b01
Non-wetland,11,2.28401609979424,1.71460256684979,2.2143304907729,0.100444070820005,486,wet_sev_z,b01
Non-wetland,12,2.49482282246377,1.68139458203623,2.40618468469189,0.144835297974273,276,wet_sev_z,b01
Non-wetland,13,2.7134375127193,2.0340913052807,2.45308902948116,0.162459789715454,228,wet_sev_z,b01
Non-wetland,14,2.91294965693431,2.41152399228467,2.92818813861458,0.250171995946076,137,wet_sev_z,b01
Non-wetland,15,3.11918856470588,1.88130317423529,1.97072248874892,0.213754865858912,85,wet_sev_z,b01
Wetland,1,823.121218923199,4.58371532892636,4.87980611485637,0.137309596719308,1263,ppt,b02
Wetland,2,886.802127646529,4.48586914676196,4.92856999532245,0.104650222937471,2218,ppt,b02
Wetland,3,969.137202818396,3.79367027759552,4.07045099127152,0.139779860921639,848,ppt,b02
Wetland,4,1043.83701492401,3.00568740475988,3.89289329470633,0.214622154758024,329,ppt,b02
Wetland,5,1143.81891388889,2.04497387728889,3.11726583148142,0.164294334994998,360,ppt,b02
Wetland,6,1221.6054064482,1.51548686030444,2.28165521326148,0.0741830097439823,946,ppt,b02
Wetland,7,1288.58535960265,1.9455661846457,2.64826504603973,0.10775637651171,604,ppt,b02
Wetland,8,1352.51744054054,2.77068211930502,3.11231469604458,0.193389825440332,259,ppt,b02
Wetland,9,1440.88547083333,1.56398646275,1.42554728072083,0.290988620164843,24,ppt,b02
Wetland,10,1520.68072352941,0.931532992941176,0.699855851139856,0.16973997629154,17,ppt,b02
Wetland,11,1620.16123076923,1.06981351230769,1.08196662014839,0.300083548252729,13,ppt,b02
Wetland,12,1692.35725652174,0.970960597869565,1.27270580599154,0.265377505403363,23,ppt,b02
Wetland,13,1770.8537125,1.9111426340625,1.8336959869958,0.45842399674895,16,ppt,b02
Wetland,14,1850.8686625,2.303125033125,5.8042058243229,1.45105145608072,16,ppt,b02
Wetland,15,1954.006325,1.20202020166667,1.33322119350937,0.384867807480975,12,ppt,b02
Non-wetland,1,821.744767890625,2.61489637819922,3.06456374954233,0.095767617173198,1024,ppt,b02
Non-wetland,2,891.826948819027,2.05066597359049,2.78761885529407,0.0651818287108472,1829,ppt,b02
Non-wetland,3,965.626877013396,1.45571107498188,1.84917484520529,0.0519095382759173,1269,ppt,b02
Non-wetland,4,1047.85900609819,1.66440196751163,2.65815764993094,0.135121747111048,387,ppt,b02
Non-wetland,5,1140.69450453401,1.27488632767003,1.76623324740967,0.0886447056480757,397,ppt,b02
Non-wetland,6,1219.62669727582,1.1479824037378,1.73891057510443,0.0585853858287328,881,ppt,b02
Non-wetland,7,1287.50398588589,1.67404368646396,2.17583660571475,0.0843119559022354,666,ppt,b02
Non-wetland,8,1357.2273975,2.00489012405,2.22232159943055,0.132809117739058,280,ppt,b02
Non-wetland,9,1445.07417222222,1.1759259475,1.26871598583221,0.211452664305368,36,ppt,b02
Non-wetland,10,1529.54708181818,0.952031139181818,1.012204852225,0.215802799592995,22,ppt,b02
Non-wetland,11,1608.12519230769,0.621561762076923,0.41979274678378,0.116429559507445,13,ppt,b02
Non-wetland,12,1694.64083043478,0.821146235695652,0.612933374517436,0.127805443443529,23,ppt,b02
Non-wetland,13,1781.86073888889,0.876262633333333,0.486842765448276,0.114749940273363,18,ppt,b02
Non-wetland,14,1854.64333333333,0.924873736666667,0.858780376068735,0.247908540649026,12,ppt,b02
Non-wetland,15,1942.00912380952,0.844877341904762,0.954351881105353,0.208256654037561,21,ppt,b02
Wetland,1,0.255515895929204,2.52948144545133,3.48050891674704,0.327418737057913,113,wet_sev_z,b02
Wetland,2,0.457706221333333,2.60660289918519,2.94918217666871,0.253825187892659,135,wet_sev_z,b02
Wetland,3,0.688047505675676,2.58295845535135,3.01437393429631,0.156709838734272,370,wet_sev_z,b02
Wetland,4,0.872400154312081,2.24626102633557,3.41489585815683,0.139879584612517,596,wet_sev_z,b02
Wetland,5,1.07830487913819,2.48140595011887,3.37672726835578,0.130163270685126,673,wet_sev_z,b02
Wetland,6,1.28742305248815,2.86470923538033,3.58561389485041,0.123421920186957,844,wet_sev_z,b02
Wetland,7,1.48529772502769,3.36376647385603,4.10760133807359,0.136692413448187,903,wet_sev_z,b02
Wetland,8,1.69499198981132,3.27546812189811,3.92456833117623,0.139190094827912,795,wet_sev_z,b02
Wetland,9,1.89029131941896,3.55644367401835,4.04861133458226,0.158313231003819,654,wet_sev_z,b02
Wetland,10,2.10527379021739,4.61745064162138,4.89457809345886,0.208327078368278,552,wet_sev_z,b02
Wetland,11,2.31088238418231,4.94432799246649,5.87127001221673,0.304002837737018,373,wet_sev_z,b02
Wetland,12,2.51897778071625,4.06666685033609,4.33113972624422,0.227325880622271,363,wet_sev_z,b02
Wetland,13,2.71950162798635,4.86999209030717,5.46983015295844,0.319550889526715,293,wet_sev_z,b02
Wetland,14,2.92031350529101,5.38926233285714,5.64114935850065,0.410333237172711,189,wet_sev_z,b02
Wetland,15,3.1147904104,5.3166969544,5.50552358483894,0.492428999497128,125,wet_sev_z,b02
Non-wetland,1,0.256208390732984,1.4931945056911,1.99455291216025,0.144320783615121,191,wet_sev_z,b02
Non-wetland,2,0.459447321578947,1.96498635303684,2.64491520408631,0.191882316411949,190,wet_sev_z,b02
Non-wetland,3,0.670836158487085,2.14623342681919,2.67237335410141,0.162335120368968,271,wet_sev_z,b02
Non-wetland,4,0.871255092796781,1.63380013415895,2.03058310090895,0.0910841003657091,497,wet_sev_z,b02
Non-wetland,5,1.07909915972222,1.52091569816512,1.9797842995141,0.077773272415171,648,wet_sev_z,b02
Non-wetland,6,1.28739760188679,1.38567480681422,1.97520747133184,0.0752494116569984,689,wet_sev_z,b02
Non-wetland,7,1.49004895554382,1.78120017071489,2.35422790433231,0.0765021276079957,947,wet_sev_z,b02
Non-wetland,8,1.69599014831981,1.70595717679142,2.45478523671,0.0835618612542807,863,wet_sev_z,b02
Non-wetland,9,1.89667846217391,1.88338778075073,2.97995792538007,0.113445059402999,690,wet_sev_z,b02
Non-wetland,10,2.10122218370253,1.98123255407278,2.70380790283521,0.107551703605623,632,wet_sev_z,b02
Non-wetland,11,2.29820684944072,1.80981220758389,2.44461209971549,0.115626184672089,447,wet_sev_z,b02
Non-wetland,12,2.51230252251656,1.77646705613576,2.32421033678026,0.133743275991113,302,wet_sev_z,b02
Non-wetland,13,2.72243475325203,1.97872162817886,2.27886357889174,0.145295035014955,246,wet_sev_z,b02
Non-wetland,14,2.92329655507246,2.82306551043478,3.4985104638463,0.297812988027698,138,wet_sev_z,b02
Non-wetland,15,3.13763215257732,1.61212641464948,1.71035717971719,0.17366046034346,97,wet_sev_z,b02
Wetland,1,825.614422034796,4.41374021226853,4.5658908186105,0.125576910655449,1322,ppt,b03
Wetland,2,890.401101414612,4.39569340395162,4.67226082533332,0.100788010183339,2149,ppt,b03
Wetland,3,972.712172834928,4.27447511458134,4.66833418620415,0.161457713937894,836,ppt,b03
Wetland,4,1049.49302932203,2.92355246342373,3.41430157357313,0.198788323117355,295,ppt,b03
Wetland,5,1154.00590070922,1.59893486035225,2.36863465654413,0.115166958012809,423,ppt,b03
Wetland,6,1232.60775302889,1.64115147459273,2.46750564644933,0.0753283221544288,1073,ppt,b03
Wetland,7,1310.63466547406,2.58584489359213,2.95842626436781,0.125128098668479,559,ppt,b03
Wetland,8,1371.6905875969,2.57003690989147,2.72641070505958,0.240047077628559,129,ppt,b03
Wetland,9,1479.31233125,1.457859835625,1.25686350044525,0.314215875111311,16,ppt,b03
Wetland,10,1556.37477142857,1.66233765142857,1.52033989734257,0.406327929092782,14,ppt,b03
Wetland,11,1635.75199545455,0.935261716363636,1.17913193792558,0.251391773843512,22,ppt,b03
Wetland,12,1714.75215,1.49461277905556,1.46679877247202,0.345727786217023,18,ppt,b03
Wetland,13,1793.43772666667,2.209708178,2.81008952827967,0.725561996291935,15,ppt,b03
Wetland,14,1885.16765333333,0.9381818204,0.885389107582229,0.228606484571961,15,ppt,b03
Wetland,15,1973.09174615385,2.02214451584615,2.9893018728464,0.829083167722171,13,ppt,b03
Non-wetland,1,824.240631330233,2.74559958562698,3.2628268955876,0.0995152873639761,1075,ppt,b03
Non-wetland,2,896.246002534984,1.89609335435737,2.50900133609452,0.0582073781593651,1858,ppt,b03
Non-wetland,3,970.311527921397,1.54208791978515,2.08071771926898,0.0614908395015268,1145,ppt,b03
Non-wetland,4,1054.23301275281,1.67820631004213,2.44987269628845,0.129842993217561,356,ppt,b03
Non-wetland,5,1151.35679607438,1.23349936006198,1.75452180910692,0.0797509913230418,484,ppt,b03
Non-wetland,6,1231.98228973863,1.19419358982962,1.42508266143703,0.0443394085215741,1033,ppt,b03
Non-wetland,7,1306.07075343643,1.69693335453608,2.19650186832759,0.0910479317288843,582,ppt,b03
Non-wetland,8,1372.69176906077,1.5828414768674,1.71964988038082,0.127820568968171,181,ppt,b03
Non-wetland,9,1479.95450909091,1.26044863318182,1.16164525662386,0.247663600863304,22,ppt,b03
Non-wetland,10,1548.53056923077,0.774592074615385,0.497559911078509,0.137998290154528,13,ppt,b03
Non-wetland,11,1644.82793043478,0.815546772173913,0.726118970174426,0.151406271601647,23,ppt,b03
Non-wetland,12,1718.70593,0.6951178533,0.405604181131713,0.0906958520968648,20,ppt,b03
Non-wetland,13,1793.07964761905,0.837253496761905,0.756071359039637,0.164988296837489,21,ppt,b03
Non-wetland,14,1891.83917692308,0.837995346153846,1.02670168040367,0.284755811792345,13,ppt,b03
Non-wetland,15,1967.18852857143,1.02417026619048,1.00055828953551,0.218339719000572,21,ppt,b03
Wetland,1,0.241283502403846,2.34326681018269,3.47103796005401,0.34036327482186,104,wet_sev_z,b03
Wetland,2,0.439399559852941,2.90085029275,4.005337548249,0.343454861271435,136,wet_sev_z,b03
Wetland,3,0.673346405797101,2.70937187181739,3.273665254546,0.17624821264442,345,wet_sev_z,b03
Wetland,4,0.85846020925,2.09449413182167,2.86026657578673,0.116769893983586,600,wet_sev_z,b03
Wetland,5,1.06871944636,2.43462558420267,3.01112244646848,0.109950645822729,750,wet_sev_z,b03
Wetland,6,1.27357404558259,2.98938831623431,3.57177575269946,0.127808185080563,781,wet_sev_z,b03
Wetland,7,1.47367445005035,3.18605406131118,3.957128553701,0.125575678969121,993,wet_sev_z,b03
Wetland,8,1.67822145725806,3.14311207405511,3.79797388501903,0.13924047829112,744,wet_sev_z,b03
Wetland,9,1.87907272694301,3.73016316529706,4.07768756722399,0.169462912097816,579,wet_sev_z,b03
Wetland,10,2.09848963482143,4.938104077125,5.37572435429046,0.227165815513814,560,wet_sev_z,b03
Wetland,11,2.29525368393782,4.5374579107798,4.868930081802,0.24782201609594,386,wet_sev_z,b03
Wetland,12,2.50627596047904,4.55507410919162,4.86228350180933,0.266052316069846,334,wet_sev_z,b03
Wetland,13,2.70507328006645,4.6192469670299,5.01551921100358,0.289089721303397,301,wet_sev_z,b03
Wetland,14,2.91029388762376,4.73814820514852,4.42193268926725,0.311126098313106,202,wet_sev_z,b03
Wetland,15,3.12005148514852,4.84206419653465,4.7005705915412,0.467724255379086,101,wet_sev_z,b03
Non-wetland,1,0.242204479259259,1.63145661242857,2.02375525486103,0.147206534023259,189,wet_sev_z,b03
Non-wetland,2,0.446046454042553,2.07570460790957,3.19246387346278,0.232834357879992,188,wet_sev_z,b03
Non-wetland,3,0.668356650646388,1.9137870968251,2.27637185439972,0.140367101801217,263,wet_sev_z,b03
Non-wetland,4,0.85732702968815,1.50333446445738,1.90019509094407,0.0866414383730035,481,wet_sev_z,b03
Non-wetland,5,1.06643815021802,1.52126759968023,1.89676115835857,0.0723133412280244,688,wet_sev_z,b03
Non-wetland,6,1.2811831033189,1.3740131630101,1.75529645030376,0.0666781984447242,693,wet_sev_z,b03
Non-wetland,7,1.47881852002141,1.86457566157709,2.68797182780947,0.087953124968662,934,wet_sev_z,b03
Non-wetland,8,1.6817417115566,1.80179547095283,2.47556194100505,0.0850111460765912,848,wet_sev_z,b03
Non-wetland,9,1.88384878430493,1.79142294408969,2.60986535380683,0.100903224107451,669,wet_sev_z,b03
Non-wetland,10,2.09941419538462,1.84849785912769,2.30793623464221,0.0905247068966805,650,wet_sev_z,b03
Non-wetland,11,2.28788891425486,2.03111278655508,2.97804126072098,0.138401314543226,463,wet_sev_z,b03
Non-wetland,12,2.50542679205776,1.65873561055235,1.96141739985629,0.117850149856297,277,wet_sev_z,b03
Non-wetland,13,2.71155678649789,1.79407646935021,2.21915205587716,0.144149416256845,237,wet_sev_z,b03
Non-wetland,14,2.91115324875,2.198585487,2.50362335068705,0.197928804783839,160,wet_sev_z,b03
Non-wetland,15,3.13331106666667,2.25720914314444,2.74197002391305,0.289029018382386,90,wet_sev_z,b03
Wetland,1,830.747246706399,4.29395632772648,4.67408210269703,0.117071768309988,1594,ppt,b04
Wetland,2,897.458595214505,4.57315672039019,5.18585832974389,0.117196408954348,1958,ppt,b04
Wetland,3,982.762837672956,3.85580637670063,4.34066106787615,0.153947383424059,795,ppt,b04
Wetland,4,1068.85764103586,2.6731554095498,3.56237843404747,0.224855332928708,251,ppt,b04
Wetland,5,1170.26937277397,1.74757852710959,3.05559562011703,0.126441446419823,584,ppt,b04
Wetland,6,1247.43411047619,1.58128450382952,2.22520094495321,0.0686711920290187,1050,ppt,b04
Wetland,7,1332.72457359667,2.48798596060707,2.92957401774573,0.133577077389228,481,ppt,b04
Wetland,8,1412.87674489796,2.21263141020408,4.37154600616285,0.624506572308978,49,ppt,b04
Wetland,9,1504.35199090909,1.58677683863636,1.72514758358884,0.367802700640291,22,ppt,b04
Wetland,10,1595.38702222222,2.06776094422222,2.02728525166663,0.477835716284316,18,ppt,b04
Wetland,11,1682.43609375,1.115625005,1.45652664410265,0.364131661025663,16,ppt,b04
Wetland,12,1763.65774285714,0.961038943142857,1.15015436687357,0.250984259384863,21,ppt,b04
Wetland,13,1862.30291818182,1.25309916636364,0.826658537372036,0.24924692710973,11,ppt,b04
Wetland,14,1958.85843333333,1.10387205444444,1.20345866418673,0.401152888062245,9,ppt,b04
Wetland,15,2035.88478461539,1.11800699538462,1.19925287895777,0.332612903640774,13,ppt,b04
Non-wetland,1,829.811812049383,2.56793044884774,2.97798431892629,0.0854346938701361,1215,ppt,b04
Non-wetland,2,904.824953611846,1.95751981293125,2.83237512121012,0.0651335885800621,1891,ppt,b04
Non-wetland,3,981.650585407555,1.49048504557356,2.01399803980225,0.0634980009729592,1006,ppt,b04
Non-wetland,4,1072.5430199446,1.3841159515928,2.21198973587707,0.116420512414583,361,ppt,b04
Non-wetland,5,1171.08599090909,1.24482493646252,1.62736925292972,0.0649908677842091,627,ppt,b04
Non-wetland,6,1249.43846231454,1.22597080428882,1.55647716947616,0.048951632187987,1011,ppt,b04
Non-wetland,7,1334.51735421456,1.84658815756705,1.93110449474593,0.0845221475614883,522,ppt,b04
Non-wetland,8,1414.05415121951,1.45809315236585,1.47380201573776,0.230169205076776,41,ppt,b04
Non-wetland,9,1514.15475,0.690617912964286,0.671003584929006,0.126807758182497,28,ppt,b04
Non-wetland,10,1593.30912941176,0.680035649411765,0.583373482723021,0.14148885226185,17,ppt,b04
Non-wetland,11,1665.62856363636,0.465151520181818,0.444334824618095,0.133971990413327,11,ppt,b04
Non-wetland,12,1764.40827692308,0.539918415153846,0.486843408882759,0.135026067219113,13,ppt,b04
Non-wetland,13,1857.09049411765,0.968137262941177,1.06073549959023,0.257266147391345,17,ppt,b04
Non-wetland,14,1950.54578095238,1.13228714909524,1.08147011934979,0.235996127797778,21,ppt,b04
Non-wetland,15,2024.01814210526,1.13840599794737,2.188131853337,0.50199187493886,19,ppt,b04
Wetland,1,0.246749989736842,2.65392151419298,3.64616864209875,0.341494981682378,114,wet_sev_z,b04
Wetland,2,0.447587921958042,3.19859667524476,4.02236760168065,0.336367276821683,143,wet_sev_z,b04
Wetland,3,0.677215832483222,2.48467320197987,2.82416046507241,0.163599223145114,298,wet_sev_z,b04
Wetland,4,0.863132082205387,2.05354086574916,3.03446559398071,0.124505631429524,594,wet_sev_z,b04
